id,name,neighbourhood,latitude,longitude,host_id,host_name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,ratings,bedrooms,beds,baths
197677,Rental unit in Sumida,Sumida Ku,35.71707,139.82608,964081,Yoshimi & Marek,Entire home/apt,11000,3,173,1.21,24,4.78,1.0,2.0,1.0
776070,Home in Kita-ku,Kita Ku,35.73844,139.76917,801494,Kei,Private room,7208,3,243,1.89,67,4.98,1.0,1.0,1.0
3427384,Rental unit in Edogawa,Edogawa Ku,35.68374,139.85971,13018876,Masakatsu,Entire home/apt,7847,2,100,0.93,231,4.82,1.0,2.0,1.0
905944,Rental unit in Shibuya,Shibuya Ku,35.67878,139.67847,4847803,Best Stay In Tokyo!,Entire home/apt,23066,3,186,1.49,229,4.76,2.0,4.0,1.0
3514008,Rental unit in Arakawa-ku,Arakawa Ku,35.72672,139.78201,17694529,Hisao,Entire home/apt,2871,1,269,2.59,11,4.86,1.0,2.0,1.0
1016831,Home in Setagaya,Setagaya Ku,35.658,139.67134,5596383,Wakana,Private room,16000,1,244,1.96,101,4.94,1.0,2.0,1.0
3563698,Rental unit in Machida,Machida Shi,35.58911,139.48023,11583876,Ken,Entire home/apt,4814,3,120,1.11,224,4.87,1.0,2.0,1.0
3572139,Home in Toshima-ku,Toshima Ku,35.72784292965493,139.73408415595273,15514130,Tomo,Entire home/apt,31229,3,201,2.1,196,4.85,3.0,6.0,1.0
1249571,Home in Shibuya,Shibuya Ku,35.65111,139.72165,6809418,Yume,Entire home/apt,54782,7,116,0.97,189,4.96,1.0,1.0,1.0
3623844,Rental unit in Edogawa,Edogawa Ku,35.68358,139.85985,13018876,Masakatsu,Entire home/apt,7538,2,77,0.77,210,4.86,1.0,4.0,1.0
3689244,Rental unit in Shibuya-ku,Shibuya Ku,35.67205,139.67877,18776800,LiveinAsia,Entire home/apt,32714,3,26,0.25,97,4.69,2.0,3.0,1.0
1263000,Home in Setagaya,Setagaya Ku,35.60742,139.67616,6876728,Haruko,Private room,7571,2,186,1.53,282,4.79,1.0,2.0,1.0
1298200,Home in Katsushika,Katsushika Ku,35.73987,139.85176,6606987,K & N,Entire home/apt,16000,1,369,3.03,116,4.93,2.0,4.0,2.0
1306664,Rental unit in Shinjuku,Shinjuku Ku,35.70263,139.74147,7103955,Masaharu,Entire home/apt,39143,3,186,1.57,13,4.91,1.0,1.0,1.0
3744742,Rental unit in Kita-ku,Kita Ku,35.76105,139.716,19152993,Sei,Entire home/apt,8714,3,220,2.08,252,4.3,1.0,5.0,1.0
3775528,Home in Setagaya,Setagaya Ku,35.62942,139.63077,19358663,Mikako,Private room,14416,1,86,0.8,103,4.98,1.0,1.0,1.0
1394124,Home in Meguro,Meguro Ku,35.62039,139.69983,5710367,David,Entire home/apt,29286,2,265,2.2,67,4.77,2.0,2.0,2.0
3793206,Rental unit in 新宿区,Shinjuku Ku,35.69847,139.70432,8142772,Min & Haru,Private room,6551,2,226,2.1,40,4.9,1.0,1.0,1.0
3814258,Rental unit in Suginami-ku,Suginami Ku,35.70293,139.60045,19611972,岩間,Entire home/apt,7964,3,191,1.8,71,4.73,1.0,3.0,1.0
3838856,Home in Shinjuku,Shibuya Ku,35.68245,139.69009,4626879,Tracey,Entire home/apt,23124,1,204,1.91,143,4.88,3.0,5.0,1.0
1571298,Rental unit in 新宿区,Shinjuku Ku,35.69847,139.70433,8142772,Min & Haru,Shared room,5980,2,179,1.5,195,4.81,1.0,8.0,1.0
1574946,Rental unit in 新宿区,Shinjuku Ku,35.69848,139.70433,8142772,Min & Haru,Shared room,5980,2,154,1.3,193,4.82,1.0,8.0,1.0
1600454,Home in Setagaya,Setagaya Ku,35.65897,139.60988,8529477,Mari,Private room,3300,2,45,0.38,26,4.8,1.0,1.0,1.0
3871442,Rental unit in Suginami-ku,Suginami Ku,35.70399,139.59775,18776800,LiveinAsia,Entire home/apt,14857,3,36,0.34,1,4.86,1.0,1.0,1.0
3886601,Home in Shibuya,Shibuya Ku,35.64966,139.72181,10415965,Azabu,Entire home/apt,46143,10,139,1.3,174,4.6,3.0,6.0,1.0
1732795,Home in Katsushika,Katsushika Ku,35.73784,139.85201,6606987,K & N,Entire home/apt,35343,1,336,2.85,172,4.9,4.0,5.0,2.0
